iihtáísstssimao'pa,,%^SPomohtáísstssimahp,ohtáísstssimahp,NA,"""@D.person.NULL@""",
iihtáísttsikááhkiaakio'pa,iihtáísttsikááhkiaakio'p,,ohtáísttsikááhkiaakio'p,NA,"""@R.person.NULL@""",
iihtáísttsikááhkiaakio'pa,,%^SPomohtáísttsikááhkiaakihp,ohtáísttsikááhkiaakihp,NA,"""@D.person.NULL@""",
iihtáí'tsinssakio'pa,iihtáí'tsinssakio'p,,ohtáí'tsinssakio'p,NA,"""@R.person.NULL@""",
iihtáí'tsinssakio'pa,,%^SPomohtáí'tsinssakihp,ohtáí'tsinssakihp,NA,"""@D.person.NULL@""",
iihtáóhpommao'pa,iihtáóhpommao'p,,ohtáóhpommao'p,NA,"""@R.person.NULL@""",
iihtáóhpommao'pa,,%^SPomohtáóhpommahp,ohtáóhpommahp,NA,"""@D.person.NULL@""",
iihtáóhsistsiniimsstao'pa,iihtáóhsistsiniimsstao'p,,ohtáóhsistsiniimsstao'p,NA,"""@R.person.NULL@""",
iihtáóhsistsiniimsstao'pa,,%^SPomohtáóhsistsiniimsstahp,ohtáóhsistsiniimsstahp,NA,"""@D.person.NULL@""",
iihtáókspainnohkio'takio'pa,iihtáókspainnohkio'takio'p,,ohtáókspainnohkio'takio'p,NA,"""@R.person.NULL@""",
iihtáókspainnohkio'takio'pa,,%^SPomohtáókspainnohkio'takihp,ohtáókspainnohkio'takihp,NA,"""@D.person.NULL@""",
iihtáóoyo'pa,iihtáóoyo'p,,ohtáóoyo'p,NA,"""@R.person.NULL@""",
iihtáóoyo'pa,,%^SPomohtáóoyihp,ohtáóoyihp,NA,"""@D.person.NULL@""",
