PS/saayíppom,saayíppom,sayíppom,sayíppom,PSBOUND2,,
PS/sahp,sahp,sahp,sahp,PSBOUND2,,sometimes saahp initially?
PS/saikima',saikima',saikima',saikima',PSBOUND2,,
PS/saiksistt,saiksistt,saiksistt,saiksistt,PSBOUND2,,
PS/sainnis,sainnis,sainnis,sainnis,PSBOUND2,,pers assumed
PS/sainskaka'p,sainskaka'p,sainskaka'p,sainskaka'p,PSBOUND2,,"pers, elsewhere assumed"
PS/saip,saip,saip,saip,PSBOUND2,,
PS/saipa',saipa',saipa',saipa',PSBOUND2,,"pers, elsewhere assumed"
PS/sakak,sakak,sakak,sakak,PSBOUND2,,
PS/sakak,isakak,,,PSBOUND2,,
